,,,,,,
2do Trim IFE 2026,,,,,,
Miercoles de 19 a 22,,,,,,
Clase,Día ,Tema ,Responsable,Modalidad,Aviso para la sig. clase,Actividad
1,13-may,Presentación del curso - Introducción,LL,Virtual,Buscar empresa real para TP,armado de grupos
2,20-may,Modelos contables - Caso Práctico,AC,Virtual,Lectura revista ,
3,27-may,Medición o Valuación de Rubros,LL,Virtual,Contestar preguntas 1 a 7 de la Guia de Preguntas grupal, Test sobre el articulo de la revista
4,3-jun,Informes Contables (BS + P&L),AC,Virtual,Contestar preguntas 8 a 12de la Guia de Preguntas grupal,
5,10-jun,Informes Contables (EEPN + NOTAS) Info Auditor / AxI,LL,Virtual,Contestar preguntas 13 a 21 de la Guia de Preguntas grupal,
6,17-jun,Presentación de Alumnos,AB / LL / AC,Virtual,,Presentaciones
,,,,,,
,,,,,,
CALIFICACION,,25% EXAMEN DE NIVELACION,,,,
,,15% TEST INDIVIDUAL,,,,
,,20% TP FINAL,,,,
,,40% PRESENTACION FINAL,,,,
